International number ID,date,Latitude of the center,Longitude of the center,Central pressure,timestamp
9407,1994-07-28 18:00:00,34.174648215787784,127.28583659520356,997.0489782873001,775389600
9407,1994-07-29 00:00:00,34.765950164172864,127.62870487334975,994.2569098583845,775411200
9407,1994-07-29 06:00:00,35.324881935301164,128.0078884744562,991.6145403697456,775432800
9407,1994-07-29 12:00:00,35.875406379108426,128.40927700601657,989.130057141083,775454400
9407,1994-07-29 18:00:00,36.42783277188482,128.8223862838099,986.8182369051283,775476000
9314,1993-09-14 12:00:00,62.31919011517857,182.38401749469813,988.770041509531,747979200
9314,1993-09-14 18:00:00,63.2339555796907,183.9951141473739,989.4237978094388,748000800
9314,1993-09-15 00:00:00,64.23279518500567,185.7867158490717,989.9713054635486,748022400
9314,1993-09-15 06:00:00,65.30467627542475,187.71953589268742,990.423617992657,748044000
9314,1993-09-15 12:00:00,66.43927224096842,189.76083471448146,990.792110307174,748065600
9119,1991-10-01 06:00:00,56.73493165889158,182.35024887340933,973.8857418288387,686268000
9119,1991-10-01 12:00:00,58.47101017946716,183.96092871907467,975.8340798837703,686289600
9119,1991-10-01 18:00:00,60.21364015891959,185.80629691418198,977.8495647791681,686311200
9119,1991-10-02 00:00:00,61.96747227195738,187.8648435167347,979.9361408711084,686332800
9119,1991-10-02 06:00:00,63.736516893905446,190.11863559243693,982.0972478157012,686354400
9708,1997-07-04 06:00:00,51.11000940903159,182.45669650192224,1001.6566393023838,867967200
9708,1997-07-04 12:00:00,52.05661467674963,184.28461463334617,1003.2311057797185,867988800
9708,1997-07-04 18:00:00,52.906244442674506,186.2869644742289,1004.7771947172184,868010400
9708,1997-07-05 00:00:00,53.697541374765024,188.40677590425497,1006.3261306475854,868032000
9708,1997-07-05 06:00:00,54.45294286974331,190.61033627651722,1007.8959446471379,868053600
9609,1996-08-04 18:00:00,33.902696082644525,108.9076034151185,1003.1916365135912,839152800
9609,1996-08-05 00:00:00,34.27991608203547,107.89247516253454,1006.4931005833823,839174400
9609,1996-08-05 06:00:00,34.71359700882431,106.93021381780636,1009.9009422766067,839196000
9609,1996-08-05 12:00:00,35.1905550777019,106.00398714247785,1013.411033329081,839217600
9609,1996-08-05 18:00:00,35.70113267301258,105.10220762437166,1017.0190277004913,839239200
9114,1991-09-02 18:00:00,46.463280222189496,186.46853384055245,982.0668339558324,683802000
9114,1991-09-03 00:00:00,46.749441024854605,190.992860551474,980.1338834408352,683823600
9114,1991-09-03 06:00:00,46.91197765265315,195.53903299451193,978.1773921348877,683845200
9114,1991-09-03 12:00:00,46.98243282991825,200.07968542267685,976.188543396253,683866800
9114,1991-09-03 18:00:00,46.98111224196691,204.59164007775067,974.1666961429569,683888400
9305,1993-07-29 12:00:00,43.23592865678074,135.52513051856386,1008.6127980347155,743918400
9305,1993-07-29 18:00:00,44.4962431422191,135.58080201900248,1009.2899703313487,743940000
9305,1993-07-30 00:00:00,45.776764764696054,135.6630842026484,1010.0530148683229,743961600
9305,1993-07-30 06:00:00,47.074587558026906,135.77083707023166,1010.9032009959956,743983200
9305,1993-07-30 12:00:00,48.387414356768204,135.90325708627142,1011.8378577984568,744004800
9311,1993-08-31 00:00:00,58.9083077144187,159.3661253225988,993.4602102519102,746726400
9311,1993-08-31 06:00:00,60.181204643218734,160.18792890631414,992.9605687218072,746748000
9311,1993-08-31 12:00:00,61.375179252432645,160.96749387424313,992.4677659117624,746769600
9311,1993-08-31 18:00:00,62.521673984150766,161.70672133913,991.9663678472143,746791200
9311,1993-09-01 00:00:00,63.63849992694122,162.40751232596256,991.4505903052968,746812800
9211,1992-08-19 18:00:00,35.28075997675842,130.97647050316027,997.8872978458394,714218400
9211,1992-08-20 00:00:00,35.09836359651581,130.40534862852837,999.4076273660403,714240000
9211,1992-08-20 06:00:00,35.16339155797641,129.96422382863693,1000.8300919895273,714261600
9211,1992-08-20 12:00:00,35.352790317899235,129.5428560619348,1002.2525826845122,714283200
9211,1992-08-20 18:00:00,35.61077674401804,129.1083760041729,1003.7086698945022,714304800
9606,1996-07-27 12:00:00,54.06537284748333,183.00021500239814,1000.8882757746137,838440000
9606,1996-07-27 18:00:00,55.379507255441695,185.67206951840126,999.6105216688643,838461600
9606,1996-07-28 00:00:00,56.74295140260324,188.41643238566712,998.1655556644168,838483200
9606,1996-07-28 06:00:00,58.15625614685973,191.23418654895977,996.552158982006,838504800
9606,1996-07-28 12:00:00,59.6199756884896,194.12622870056498,994.7690740098246,838526400
9313,1993-09-07 18:00:00,40.287730411596385,133.7239774005311,1011.6643661975859,747396000
9313,1993-09-08 00:00:00,40.9863137029306,133.52904254999885,1011.1737650103591,747417600
9313,1993-09-08 06:00:00,41.637644452049244,133.40002631440075,1010.6306413909351,747439200
9313,1993-09-08 12:00:00,42.2685150080988,133.32643816086704,1010.1098710133283,747460800
9313,1993-09-08 18:00:00,42.89569243759615,133.30076054581718,1009.6667078556775,747482400
9209,1992-08-05 18:00:00,36.31179242743383,125.79911223529189,1008.864647880413,713008800
9209,1992-08-06 00:00:00,36.803500395712035,125.11640212303769,1011.5624323371594,713030400
9209,1992-08-06 06:00:00,37.388455059708576,124.31392997961575,1014.3191273072844,713052000
9209,1992-08-06 12:00:00,38.02178584173271,123.41878091915419,1017.2536404201601,713073600
9209,1992-08-06 18:00:00,38.68022883182857,122.44147853043569,1020.4311677821024,713095200
9304,1993-07-27 06:00:00,42.32229562370867,135.3449094282612,1012.0271637592723,743724000
9304,1993-07-27 12:00:00,43.14132734616942,135.13477812578537,1012.078998788229,743745600
